instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
1.0,1.0,0.2244897959183673,0.2879,0.81,0.0,3.0,13.0,16.0,64323,2,4,72,6,1,1,1
2.0,1.0,0.2040816326530612,0.2727,0.8,0.0,8.0,32.0,40.0,90549,5,5,83,1,0,1,0
3.0,1.0,0.2040816326530612,0.2727,0.8,0.0,5.0,27.0,32.0,94862,3,4,27,1,0,1,1
4.0,1.0,0.2244897959183673,0.2879,0.75,0.0,3.0,10.0,13.0,91347,1,8,39,10,2,1,0
5.0,1.0,0.2244897959183673,0.2879,0.75,0.0,0.0,1.0,1.0,57902,4,1,78,6,1,0,1
6.0,2.0,0.2244897959183673,0.2576,0.75,0.1053250264488068,0.0,1.0,1.0,92898,3,5,63,1,1,0,0
7.0,1.0,0.2040816326530612,0.2727,0.8,0.0,2.0,0.0,2.0,78203,1,8,23,7,0,1,1
8.0,1.0,0.1836734693877551,0.2576,0.86,0.0,1.0,2.0,3.0,26951,4,7,94,6,2,1,1
9.0,1.0,0.2244897959183673,0.2879,0.75,0.0,1.0,7.0,8.0,30989,2,6,88,9,1,0,1
10.0,1.0,0.3061224489795918,0.3485,0.76,0.0,8.0,6.0,14.0,35763,4,1,72,1,0,0,1
11.0,1.0,0.3673469387755101,0.3939,0.76,0.298224991183731,12.0,24.0,36.0,66645,5,3,49,1,1,0,1
12.0,1.0,0.3469387755102041,0.3333,0.81,0.333372516750911,26.0,30.0,56.0,71754,5,5,88,5,1,0,0
13.0,1.0,0.4081632653061224,0.4242,0.77,0.333372516750911,29.0,55.0,84.0,59071,2,2,10,5,0,1,1
14.0,2.0,0.4489795918367347,0.4545,0.72,0.3508875044081345,47.0,47.0,94.0,63281,1,3,86,10,2,0,0
15.0,2.0,0.4489795918367347,0.4545,0.72,0.333372516750911,35.0,71.0,106.0,85947,4,10,3,5,1,0,0
16.0,2.0,0.4285714285714285,0.4394,0.77,0.333372516750911,40.0,70.0,110.0,87068,1,3,5,9,0,1,1
17.0,2.0,0.4081632653061224,0.4242,0.82,0.3508875044081345,41.0,52.0,93.0,27993,2,2,49,10,1,1,0
18.0,2.0,0.4285714285714285,0.4394,0.82,0.333372516750911,15.0,52.0,67.0,55892,1,5,69,8,0,1,1
19.0,3.0,0.4081632653061224,0.4242,0.88,0.298224991183731,9.0,26.0,35.0,71315,2,9,10,3,0,0,1
20.0,3.0,0.4081632653061224,0.4242,0.88,0.298224991183731,6.0,31.0,37.0,71567,2,1,66,1,1,0,1
21.0,3.0,0.3877551020408163,0.4091,0.87,0.298224991183731,11.0,25.0,36.0,86417,4,7,65,7,1,1,0
22.0,2.0,0.3877551020408163,0.4091,0.87,0.2280474903021041,3.0,31.0,34.0,30513,1,3,21,9,2,1,1
23.0,2.0,0.3877551020408163,0.4091,0.94,0.2631950158692841,11.0,17.0,28.0,45682,3,1,18,1,0,0,1
24.0,2.0,0.4489795918367347,0.4545,0.88,0.3508875044081345,15.0,24.0,39.0,33008,5,5,66,3,2,1,0
25.0,2.0,0.4489795918367347,0.4545,0.88,0.3508875044081345,4.0,13.0,17.0,98637,2,3,38,10,1,1,0
26.0,2.0,0.4285714285714285,0.4394,0.94,0.298224991183731,1.0,16.0,17.0,20437,1,6,73,7,0,0,1
27.0,2.0,0.4081632653061224,0.4242,1.0,0.333372516750911,1.0,8.0,9.0,29000,5,4,46,2,2,1,1
28.0,2.0,0.4489795918367347,0.4545,0.94,0.2280474903021041,2.0,4.0,6.0,64302,5,7,52,2,1,1,0
29.0,2.0,0.4489795918367347,0.4545,0.94,0.2280474903021041,2.0,1.0,3.0,75989,5,7,16,10,0,1,1
30.0,3.0,0.4081632653061224,0.4242,0.77,0.3508875044081345,0.0,2.0,2.0,54477,2,3,15,5,1,0,1
31.0,2.0,0.3877551020408163,0.4091,0.76,0.2280474903021041,0.0,1.0,1.0,88855,2,7,96,8,0,1,0
32.0,3.0,0.3877551020408163,0.4091,0.71,0.2631950158692841,0.0,8.0,8.0,39495,4,1,56,5,0,1,1
33.0,2.0,0.3673469387755101,0.3939,0.76,0.2631950158692841,1.0,19.0,20.0,71376,4,2,30,4,0,1,0
34.0,2.0,0.3469387755102041,0.3485,0.81,0.2631950158692841,7.0,46.0,53.0,57802,4,6,7,4,2,0,1
35.0,2.0,0.3469387755102041,0.3333,0.71,0.298224991183731,16.0,54.0,70.0,22593,4,5,52,7,0,1,0
36.0,2.0,0.3469387755102041,0.3333,0.66,0.3508875044081345,20.0,73.0,93.0,60790,3,3,38,8,1,1,1
37.0,2.0,0.3469387755102041,0.3485,0.66,0.1578699894204772,11.0,64.0,75.0,78529,2,8,31,1,2,1,0
38.0,3.0,0.3469387755102041,0.3485,0.76,0.2280474903021041,4.0,55.0,59.0,41111,1,5,39,10,0,1,1
39.0,3.0,0.326530612244898,0.3333,0.81,0.1930175149876572,19.0,55.0,74.0,87343,5,8,11,1,2,1,1
40.0,3.0,0.326530612244898,0.3333,0.71,0.1930175149876572,9.0,67.0,76.0,92849,3,2,75,10,0,0,0
41.0,1.0,0.326530612244898,0.3333,0.57,0.2280474903021041,7.0,58.0,65.0,49244,5,9,60,4,2,0,0
42.0,2.0,0.3469387755102041,0.3333,0.46,0.3860350299753144,10.0,43.0,53.0,39846,1,5,89,2,1,0,1
43.0,1.0,0.3061224489795918,0.2879,0.42,0.5263900317385682,1.0,29.0,30.0,67005,5,6,37,3,2,1,1
44.0,1.0,0.2857142857142857,0.2727,0.39,0.4210650052897614,5.0,17.0,22.0,76093,1,9,73,4,2,1,1
45.0,1.0,0.2448979591836735,0.2273,0.44,0.3860350299753144,11.0,20.0,31.0,86177,2,10,29,2,0,0,1
46.0,1.0,0.2244897959183673,0.2121,0.44,0.3508875044081345,0.0,9.0,9.0,83332,4,1,57,2,0,1,1
47.0,1.0,0.2040816326530612,0.2273,0.47,0.1930175149876572,0.0,8.0,8.0,77333,1,1,14,10,1,0,0
48.0,1.0,0.2040816326530612,0.197,0.44,0.4210650052897614,0.0,5.0,8.0,58300,1,7,66,3,0,0,1
49.0,1.0,0.1836734693877551,0.1667,0.44,0.4912425061713882,0.0,2.0,2.0,89894,1,4,45,1,1,0,0
50.0,1.0,0.1428571428571428,0.1364,0.47,0.4562125308569413,0.0,1.0,1.0,43463,1,10,24,2,2,0,1
51.0,1.0,0.1428571428571428,0.1364,0.47,0.4562125308569413,0.0,3.0,3.0,40387,3,7,91,9,2,0,1
52.0,1.0,0.1224489795918367,0.1061,0.5,0.4562125308569413,0.0,30.0,30.0,79594,2,5,37,4,0,0,0
53.0,1.0,0.1224489795918367,0.1364,0.5,0.2280474903021041,1.0,63.0,64.0,81604,3,5,51,1,1,1,1
54.0,1.0,0.1224489795918367,0.1212,0.5,0.333372516750911,1.0,153.0,154.0,45518,1,6,85,10,1,0,1
55.0,1.0,0.1428571428571428,0.1364,0.43,0.4562125308569413,7.0,81.0,88.0,77417,5,10,80,6,2,0,1
56.0,1.0,0.163265306122449,0.1667,0.43,0.298224991183731,11.0,33.0,44.0,81530,1,7,59,2,2,1,0
57.0,1.0,0.1836734693877551,0.1818,0.4,0.3860350299753144,10.0,41.0,51.0,29483,5,8,89,2,2,1,1
58.0,1.0,0.2040816326530612,0.2121,0.35,0.3508875044081345,13.0,48.0,61.0,46283,1,2,22,9,2,1,0
59.0,1.0,0.2244897959183673,0.2121,0.35,0.333372516750911,8.0,53.0,61.0,57425,2,2,13,4,2,0,1
60.0,1.0,0.2448979591836735,0.2424,0.3,0.333372516750911,11.0,66.0,77.0,85299,2,4,89,7,0,0,1
61.0,1.0,0.2448979591836735,0.2424,0.3,0.298224991183731,14.0,58.0,72.0,93152,4,3,81,1,0,1,1
62.0,1.0,0.2448979591836735,0.2424,0.3,0.298224991183731,9.0,67.0,76.0,89194,1,4,62,2,2,0,1
63.0,1.0,0.2244897959183673,0.2273,0.3,0.2631950158692841,11.0,146.0,157.0,81909,5,7,28,9,2,1,1
64.0,1.0,0.2244897959183673,0.2576,0.32,0.1228400141060303,9.0,148.0,157.0,35148,4,3,9,6,0,0,1
65.0,1.0,0.1836734693877551,0.2576,0.47,0.0,8.0,102.0,110.0,45267,2,9,36,9,0,0,1
66.0,1.0,0.1836734693877551,0.2273,0.47,0.1228400141060303,3.0,49.0,52.0,63726,1,8,66,6,2,0,0
67.0,1.0,0.163265306122449,0.197,0.64,0.1578699894204772,3.0,49.0,52.0,46491,3,2,11,4,0,0,1
68.0,1.0,0.1224489795918367,0.1515,0.69,0.1578699894204772,0.0,20.0,20.0,83856,4,10,75,2,0,1,1
69.0,1.0,0.163265306122449,0.2121,0.55,0.1228400141060303,1.0,11.0,12.0,24693,3,9,83,3,2,0,1
70.0,1.0,0.1428571428571428,0.2121,0.55,0.1228400141060303,0.0,5.0,5.0,24233,1,2,75,1,2,0,0
71.0,1.0,0.1428571428571428,0.2121,0.59,0.1228400141060303,0.0,2.0,2.0,87952,2,3,36,5,2,0,0
72.0,1.0,0.1224489795918367,0.1515,0.63,0.1578699894204772,0.0,1.0,1.0,28880,5,8,77,6,2,1,0
72.0,1.0,0.1224489795918367,0.1818,0.63,0.1053250264488068,0.0,2.0,2.0,64239,1,1,10,2,2,1,1
74.0,1.0,0.1020408163265306,0.1515,0.68,0.1228400141060303,0.0,4.0,4.0,25818,4,2,99,6,0,1,0
75.0,1.0,0.1020408163265306,0.1515,0.74,0.1228400141060303,0.0,36.0,36.0,66178,2,2,87,9,0,1,0
76.0,1.0,0.1020408163265306,0.1515,0.74,0.1578699894204772,2.0,92.0,94.0,63176,1,2,32,4,0,1,1
77.0,1.0,0.1224489795918367,0.1515,0.69,0.1930175149876572,2.0,177.0,179.0,22953,4,6,13,5,2,1,0
78.0,1.0,0.1428571428571428,0.1515,0.64,0.2631950158692841,2.0,98.0,100.0,67188,5,1,81,2,1,1,0
79.0,2.0,0.1428571428571428,0.1364,0.69,0.3860350299753144,5.0,37.0,100.0,48516,2,5,82,5,0,1,0
80.0,1.0,0.2040816326530612,0.2121,0.51,0.3508875044081345,7.0,50.0,57.0,27492,1,7,19,7,0,0,1
81.0,1.0,0.2040816326530612,0.2273,0.51,0.1930175149876572,12.0,66.0,78.0,90333,2,5,9,1,2,0,1
82.0,1.0,0.2244897959183673,0.2273,0.56,0.2280474903021041,18.0,79.0,97.0,57627,2,8,94,8,1,1,0
83.0,1.0,0.2448979591836735,0.2576,0.52,0.2631950158692841,9.0,54.0,63.0,51694,4,2,59,3,0,1,1
84.0,1.0,0.2653061224489796,0.2727,0.52,0.298224991183731,17.0,48.0,65.0,98863,5,1,60,7,1,0,1
85.0,1.0,0.2857142857142857,0.2879,0.49,0.298224991183731,15.0,68.0,83.0,45244,3,6,43,7,1,0,1
