instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
1.0,0.0,0.22448979591836735,0.2879,0.81,0.0,0.008174386920980926,0.014672686230248306,0.015368852459016395,0.8379648728045503,0.5,0.3333333333333333,0.42424242424242425,0.1111111111111111,0.5,1.0,0.0
2.0,0.0,0.20408163265306123,0.2727,0.8,0.0,0.021798365122615803,0.03611738148984198,0.039959016393442626,0.13229576848553032,0.5,0.6666666666666665,0.8282828282828284,0.5555555555555556,1.0,0.0,1.0
3.0,0.0,0.20408163265306123,0.2727,0.8,0.0,0.013623978201634877,0.030474040632054174,0.031762295081967214,0.7659103693980875,0.75,0.3333333333333333,0.8383838383838385,0.2222222222222222,1.0,0.0,0.0
4.0,0.0,0.22448979591836735,0.2879,0.75,0.0,0.008174386920980926,0.01128668171557562,0.012295081967213116,0.6036627289205576,0.75,0.2222222222222222,0.38383838383838387,0.5555555555555556,0.5,1.0,1.0
5.0,0.0,0.22448979591836735,0.2879,0.75,0.0,0.0,0.001128668171557562,0.0,0.20207512969560598,0.75,0.4444444444444445,0.7373737373737375,0.3333333333333333,0.5,0.0,0.0
6.0,0.3333333333333333,0.22448979591836735,0.2576,0.75,0.10532502644880687,0.0,0.001128668171557562,0.0,0.7688855553472094,0.25,0.6666666666666665,0.12121212121212123,0.8888888888888888,0.0,0.0,1.0
7.0,0.0,0.20408163265306123,0.2727,0.8,0.0,0.005449591280653951,0.0,0.0010245901639344263,0.4512157009813113,0.25,0.4444444444444445,0.30303030303030304,0.0,0.5,1.0,0.0
8.0,0.0,0.1836734693877551,0.2576,0.86,0.0,0.0027247956403269754,0.002257336343115124,0.002049180327868852,0.9375585974123384,0.25,0.8888888888888888,0.6969696969696971,0.7777777777777777,1.0,0.0,1.0
9.0,0.0,0.22448979591836735,0.2879,0.75,0.0,0.0027247956403269754,0.007900677200902933,0.007172131147540984,0.47562972685792865,0.0,0.5555555555555556,0.8787878787878789,0.3333333333333333,0.0,1.0,1.0
10.0,0.0,0.30612244897959184,0.3485,0.76,0.0,0.021798365122615803,0.006772009029345372,0.013319672131147542,0.7002062628914307,1.0,0.3333333333333333,0.787878787878788,0.6666666666666665,1.0,1.0,1.0
11.0,0.0,0.36734693877551017,0.3939,0.76,0.298224991183731,0.0326975476839237,0.02708803611738149,0.035860655737704916,0.8951809488093008,0.75,0.6666666666666665,0.04040404040404041,0.5555555555555556,1.0,1.0,1.0
12.0,0.0,0.3469387755102041,0.3333,0.81,0.33337251675091106,0.07084468664850135,0.03386004514672686,0.05635245901639344,0.7005312832052004,0.75,0.2222222222222222,0.24242424242424243,0.7777777777777777,1.0,0.0,0.0
13.0,0.0,0.4081632653061224,0.4242,0.77,0.33337251675091106,0.07901907356948229,0.06207674943566591,0.08504098360655737,0.734533408338021,0.75,0.8888888888888888,0.5353535353535355,0.5555555555555556,1.0,1.0,0.0
14.0,0.3333333333333333,0.4489795918367347,0.4545,0.72,0.3508875044081345,0.12806539509536785,0.05304740406320541,0.09528688524590165,0.025989124320270007,0.0,0.4444444444444445,0.5555555555555557,0.8888888888888888,1.0,1.0,1.0
15.0,0.3333333333333333,0.4489795918367347,0.4545,0.72,0.33337251675091106,0.09536784741144413,0.0801354401805869,0.10758196721311476,0.999849990624414,0.0,0.0,0.5151515151515152,0.2222222222222222,0.5,0.0,0.0
