instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,user_activity_level,user_type,income_level,zone_type,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access
1.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,moyen,occasionnel,87033,commercial,3,4,43,2
2.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,élevé,frequent,30583,residentiel,3,7,83,6
3.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,élevé,frequent,81269,commercial,4,4,84,3
4.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,moyen,occasionnel,68290,residentiel,4,3,39,6
5.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,moyen,frequent,36165,commercial,4,5,74,4
6.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,faible,frequent,81507,residentiel,2,7,13,9
7.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,moyen,occasionnel,56095,commercial,2,5,31,1
8.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,élevé,frequent,95000,residentiel,2,9,70,8
9.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,faible,occasionnel,58048,residentiel,1,6,88,4
10.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,élevé,occasionnel,76013,residentiel,5,4,79,7
11.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,élevé,occasionnel,91610,residentiel,4,7,5,6
12.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,élevé,frequent,76039,commercial,4,3,25,8
13.0,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,élevé,occasionnel,78759,commercial,4,9,54,6
14.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,élevé,occasionnel,22079,residentiel,1,5,56,9
15.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,moyen,frequent,99983,commercial,1,1,52,3
16.0,2.0,0.44,0.4394,0.77,0.1900632159104164,40.0,70.0,110.0,élevé,occasionnel,58509,residentiel,2,4,39,5
17.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,moyen,occasionnel,34369,residentiel,4,8,95,8
18.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,moyen,occasionnel,27910,residentiel,3,2,30,9
19.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,élevé,occasionnel,23060,residentiel,5,8,22,7
20.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,élevé,occasionnel,99525,commercial,5,2,61,9
21.0,1.4258026853473438,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,faible,frequent,34530,commercial,2,10,45,3
22.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,élevé,frequent,80394,commercial,3,7,44,7
23.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,moyen,frequent,58206,commercial,3,1,85,7
24.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,faible,occasionnel,85774,residentiel,5,6,1,4
25.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,moyen,frequent,90344,residentiel,2,2,15,8
26.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,moyen,frequent,94317,commercial,5,10,7,7
27.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,faible,occasionnel,59561,residentiel,1,5,56,10
28.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,élevé,frequent,90487,residentiel,5,6,88,6
29.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,faible,frequent,86689,commercial,5,7,64,6
30.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,élevé,frequent,85068,commercial,1,1,9,3
31.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,faible,occasionnel,57531,residentiel,3,3,89,3
32.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,élevé,frequent,27642,residentiel,4,3,66,1
33.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,élevé,occasionnel,64647,commercial,1,3,87,5
34.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,faible,frequent,76740,residentiel,1,8,39,2
35.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,faible,frequent,67571,commercial,1,1,56,8
36.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,moyen,occasionnel,94383,commercial,3,9,64,2
37.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,élevé,frequent,57558,commercial,5,4,51,9
38.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,élevé,occasionnel,69330,commercial,4,9,10,2
39.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,moyen,occasionnel,69340,commercial,4,6,26,1
40.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,faible,occasionnel,37137,residentiel,2,6,47,5
41.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,faible,frequent,77619,residentiel,1,6,37,10
42.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,élevé,frequent,41626,commercial,3,5,82,5
43.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,moyen,frequent,25890,commercial,5,2,20,3
44.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,moyen,frequent,77403,residentiel,5,8,16,4
45.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,moyen,occasionnel,23992,commercial,5,6,37,6
46.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,faible,frequent,84368,residentiel,4,2,6,7
47.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,faible,frequent,86854,residentiel,4,8,60,8
48.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,189.44106486076245,moyen,occasionnel,93462,commercial,4,3,47,1
49.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,moyen,frequent,47236,commercial,1,6,32,8
50.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,élevé,frequent,31870,residentiel,4,7,90,6
51.0,1.0,0.16,0.1364,0.47,0.1900632159104164,0.0,3.0,3.0,moyen,occasionnel,46533,commercial,3,8,83,4
52.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,faible,occasionnel,25431,residentiel,3,3,71,6
53.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,faible,frequent,58050,commercial,5,9,95,9
54.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,faible,frequent,43454,commercial,1,6,16,6
55.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,faible,frequent,53541,residentiel,2,9,95,9
56.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,élevé,frequent,71027,residentiel,3,2,59,7
57.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,moyen,occasionnel,95893,commercial,3,9,9,2
58.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,faible,frequent,30116,residentiel,4,5,87,3
59.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,moyen,occasionnel,21848,commercial,4,1,52,7
60.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,élevé,frequent,20415,residentiel,2,2,8,6
61.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,moyen,occasionnel,81927,commercial,1,8,100,3
62.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,faible,occasionnel,82591,commercial,4,9,33,8
63.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,moyen,frequent,91062,residentiel,4,10,61,2
64.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,élevé,frequent,30342,residentiel,3,5,59,7
65.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,moyen,frequent,68628,commercial,2,4,22,8
66.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,faible,frequent,22726,residentiel,3,4,2,8
67.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,faible,occasionnel,79588,residentiel,1,9,99,6
68.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,faible,frequent,49126,commercial,5,5,69,3
69.0,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,faible,occasionnel,62839,commercial,3,10,57,3
70.0,1.0,0.16,0.4760846711064376,0.55,0.1045,0.0,5.0,5.0,élevé,frequent,26335,commercial,1,6,49,8
71.0,1.0,0.16,0.4760846711064376,0.59,0.1045,0.0,2.0,2.0,élevé,occasionnel,59478,commercial,2,5,68,1
72.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,moyen,frequent,88584,residentiel,4,5,84,8
8678.806666277509,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,faible,occasionnel,20031,commercial,5,3,93,4
74.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,élevé,frequent,41442,commercial,5,8,66,2
75.0,1.0,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,élevé,frequent,25135,commercial,5,6,79,7
76.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,moyen,frequent,45186,residentiel,3,1,75,5
77.0,1.0,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,moyen,frequent,55034,commercial,3,1,92,4
78.0,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,élevé,frequent,60603,commercial,5,6,74,7
79.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,189.44106486076245,élevé,occasionnel,33267,residentiel,5,1,26,1
80.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,élevé,frequent,60977,residentiel,3,1,81,9
81.0,1.0,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,moyen,occasionnel,29584,residentiel,4,7,79,5
82.0,1.0,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,moyen,occasionnel,34924,commercial,4,5,51,8
83.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,élevé,frequent,74241,commercial,4,4,13,2
